"country_name","country_code","anio","tasa_de_cambio_oficial"
"Mongolia","MNG",2023,3465.73653626198
"Mariana","MNP",2000,1
"Mariana","MNP",2010,1
"Mariana","MNP",2023,1
"Mozambique","MOZ",2000,15.22725
"Mozambique","MOZ",2010,33.9600988006908
"Mozambique","MOZ",2023,63.8858333333333
"Mauritania","MRT",2000,23.8923333333333
"Mauritania","MRT",2010,27.5894166666667
"Mauritania","MRT",2023,36.4891666666666
"Mauricio","MUS",2000,26.2495583333333
"Mauricio","MUS",2010,30.7844
"Mauricio","MUS",2023,45.267225
"Malawi","MWI",2000,59.5438083333334
"Malawi","MWI",2010,150.485833333333
"Malawi","MWI",2023,1161.09436666667
"Malasia","MYS",2000,3.8
"Malasia","MYS",2010,3.22108691472175
"Malasia","MYS",2023,4.56062343240897
"América del Norte","NAC",2000,NA
"América del Norte","NAC",2010,NA
"América del Norte","NAC",2023,NA
"Namibia","NAM",2000,6.93982833333333
"Namibia","NAM",2010,7.33025
"Namibia","NAM",2023,18.4463083333333
"Nueva Caledonia","NCL",2000,129.201037953271
"Nueva Caledonia","NCL",2010,90.0129741146296
"Nueva Caledonia","NCL",2023,110.34717131744
"Níger","NER",2000,710.207977031367
"Níger","NER",2010,494.794262222947
"Níger","NER",2023,606.569750165917
"Nigeria","NGA",2000,101.697333333333
"Nigeria","NGA",2010,150.2975
"Nigeria","NGA",2023,645.194067883201
"Nicaragua","NIC",2000,12.6843916666667
"Nicaragua","NIC",2010,21.3564486834358
"Nicaragua","NIC",2023,36.4411942796586
"Países Bajos","NLD",2000,1.08270508132602
"Países Bajos","NLD",2010,0.754308990105961
"Países Bajos","NLD",2023,0.924839558470698
"Noruega","NOR",2000,8.80184166666667
"Noruega","NOR",2010,6.04416666666666
"Noruega","NOR",2023,10.5633333333333
"Nepal","NPL",2000,71.0937958333333
"Nepal","NPL",2010,73.2623590158046
"Nepal","NPL",2023,132.115460088756
"Nauru","NRU",2000,1.72482666666667
"Nauru","NRU",2010,1.09015948638677
"Nauru","NRU",2023,1.50519106560508
"Nueva Zelandia","NZL",2000,2.20114916666667
"Nueva Zelandia","NZL",2010,1.38783382768108
"Nueva Zelandia","NZL",2023,1.62843333333333
"Miembros OCDE","OED",2000,NA
"Miembros OCDE","OED",2010,NA
"Miembros OCDE","OED",2023,NA
"Omán","OMN",2000,0.3845
"Omán","OMN",2010,0.3845
"Omán","OMN",2023,0.3845
"Otros Estados pequeos","OSS",2000,NA
"Otros Estados pequeos","OSS",2010,NA
"Otros Estados pequeos","OSS",2023,NA
"Pakistán","PAK",2000,53.6481865
"Pakistán","PAK",2010,85.1938163257576
"Pakistán","PAK",2023,280.356111655149
"Panamá","PAN",2000,1
"Panamá","PAN",2010,1
"Panamá","PAN",2023,1
"Perú","PER",2000,3.49
"Perú","PER",2010,2.825125
"Perú","PER",2023,3.74382620959376
"Filipinas","PHL",2000,44.19225
"Filipinas","PHL",2010,45.1096641800896
"Filipinas","PHL",2023,55.630363223193
"Palau","PLW",2000,NA
"Palau","PLW",2010,1
"Palau","PLW",2023,1
"Papua Nueva Guinea","PNG",2000,2.78215666666667
"Papua Nueva Guinea","PNG",2010,2.71929416666667
"Papua Nueva Guinea","PNG",2023,3.58962274932016
"Polonia","POL",2000,4.346075
"Polonia","POL",2010,3.0153
"Polonia","POL",2023,4.20366666666667
"previa al dividendo demográfico","PRE",2000,NA
"previa al dividendo demográfico","PRE",2010,NA
"previa al dividendo demográfico","PRE",2023,NA
"Puerto Rico (US)","PRI",2000,1
"Puerto Rico (US)","PRI",2010,1
"Puerto Rico (US)","PRI",2023,1
"Corea, República Popular Democrática de","PRK",2000,NA
"Corea, República Popular Democrática de","PRK",2010,NA
"Corea, República Popular Democrática de","PRK",2023,NA
"Portugal","PRT",2000,1.08270508132602
"Portugal","PRT",2010,0.754308990105961
"Portugal","PRT",2023,0.924839558470698
"Paraguay","PRY",2000,3486.35333333333
"Paraguay","PRY",2010,4758.43012878788
"Paraguay","PRY",2023,7288.87205374128
"Ribera Occidental y Gaza","PSE",2000,NA
"Ribera Occidental y Gaza","PSE",2010,NA
"Ribera Occidental y Gaza","PSE",2023,NA
"Estados pequeos de las Islas del Pacfico","PSS",2000,NA
"Estados pequeos de las Islas del Pacfico","PSS",2010,NA
"Estados pequeos de las Islas del Pacfico","PSS",2023,NA
"posterior al dividendo demográfico","PST",2000,NA
"posterior al dividendo demográfico","PST",2010,NA
"posterior al dividendo demográfico","PST",2023,NA
"Polinesia Francesa","PYF",2000,129.201037953271
"Polinesia Francesa","PYF",2010,90.0129741146296
"Polinesia Francesa","PYF",2023,110.34717131744
"Qatar","QAT",2000,3.64
"Qatar","QAT",2010,3.64
"Qatar","QAT",2023,3.64
"Rumania","ROU",2000,2.17087208333333
"Rumania","ROU",2010,3.1779
"Rumania","ROU",2023,4.57429166666667
"Federación de Rusia","RUS",2000,28.1291666666667
"Federación de Rusia","RUS",2010,30.3679153383059
"Federación de Rusia","RUS",2023,85.1620083333333
"Rwanda","RWA",2000,389.696216666666
"Rwanda","RWA",2010,583.130906583333
"Rwanda","RWA",2023,1160.09869425
"Asia meridional","SAS",2000,NA
"Asia meridional","SAS",2010,NA
"Asia meridional","SAS",2023,NA
"Arabia Saudita","SAU",2000,3.75
"Arabia Saudita","SAU",2010,3.75
"Arabia Saudita","SAU",2023,3.75
"Sudán","SDN",2000,2.571225
"Sudán","SDN",2010,2.30600092016667
"Sudán","SDN",2023,NA
"Senegal","SEN",2000,710.207977031367
"Senegal","SEN",2010,494.794262222947
"Senegal","SEN",2023,606.569750165917
"Singapur","SGP",2000,1.72396333333333
"Singapur","SGP",2010,1.36350833333333
